,run,time,section,samples,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,2187446,updates,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
1,0,41002577560,robust_retrieval,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
2,0,1573465329370,detection,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
3,0,533258586,transform,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
4,0,4134063582,query,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
5,0,1425313414506,time_index,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
6,0,34289486,robust_init,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
7,0,711114,current_hash,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
8,0,6774272,hasher,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
9,0,13783795838692,init,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
10,1,1106748,updates,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
11,1,41066090516,robust_retrieval,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
12,1,1682354736126,detection,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
13,1,533068018,transform,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
14,1,4086223728,query,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
15,1,1428308946304,time_index,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
16,1,30640154,robust_init,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
17,1,788510,current_hash,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
18,1,3292748,hasher,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
19,1,13790995941572,init,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
20,2,951144,updates,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
21,2,38502096202,robust_retrieval,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
22,2,1477580225208,detection,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
23,2,533490356,transform,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
24,2,4158809580,query,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
25,2,1427310354512,time_index,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
26,2,32566970,robust_init,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
27,2,783024,current_hash,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
28,2,3274892,hasher,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
29,2,13871882868618,init,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
30,3,942648,updates,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
31,3,45319420286,robust_retrieval,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
32,3,1576950804306,detection,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
33,3,524836418,transform,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
34,3,4168653676,query,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
35,3,1436711984250,time_index,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
36,3,30533198,robust_init,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
37,3,823908,current_hash,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
38,3,3296242,hasher,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
39,3,13871104201084,init,35109540,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
